cluster	number of LBDs	DPS	PAB species	total species
cluster_383	37	2.78	1	36
cluster_384	37	47.06	16	34
cluster_385	37	16.13	5	31
cluster_386	37	0.00	0	32
cluster_387	37	5.56	2	36
cluster_388	37	53.57	15	28
cluster_389	37	54.84	17	31
cluster_390	37	15.38	4	26
cluster_391	37	43.24	16	37
cluster_392	37	2.86	1	35
cluster_393	37	0.00	0	32
cluster_394	37	35.29	12	34
cluster_395	36	17.14	6	35
cluster_396	36	0.00	0	35
cluster_397	36	70.83	17	24
cluster_398	36	8.57	3	35
cluster_399	36	8.33	3	36
cluster_400	36	32.26	10	31
cluster_401	36	0.00	0	28
cluster_402	36	36.11	13	36
cluster_403	36	81.25	26	32
cluster_404	36	48.28	14	29
cluster_405	36	0.00	0	35
cluster_406	36	0.00	0	31
cluster_407	36	0.00	0	34
cluster_408	36	2.94	1	34
cluster_409	35	69.70	23	33
cluster_410	35	0.00	0	30
cluster_411	35	35.71	10	28
cluster_412	35	10.00	2	20
cluster_413	35	0.00	0	33
cluster_414	35	25.00	8	32
cluster_415	35	0.00	0	26
cluster_416	35	45.00	9	20
cluster_417	35	27.27	9	33
cluster_418	35	3.70	1	27
cluster_419	35	34.29	12	35
cluster_420	35	22.86	8	35
cluster_421	35	0.00	0	27
cluster_422	35	5.71	2	35
cluster_423	35	31.25	10	32
cluster_424	35	0.00	0	30
cluster_425	35	4.17	1	24
cluster_426	35	0.00	0	27
cluster_427	34	0.00	0	30
cluster_428	34	5.88	2	34
cluster_429	34	0.00	0	33
cluster_430	34	12.90	4	31
cluster_431	34	32.26	10	31
cluster_432	34	0.00	0	33
cluster_433	34	33.33	11	33
cluster_434	34	0.00	0	18
cluster_435	34	0.00	0	20
cluster_436	34	13.79	4	29
cluster_437	34	0.00	0	33
cluster_438	34	9.38	3	32
cluster_439	34	0.00	0	33
cluster_440	34	30.30	10	33
cluster_441	34	13.33	4	30
cluster_442	34	0.00	0	30
cluster_443	34	0.00	0	32
cluster_444	34	27.27	9	33
cluster_445	34	0.00	0	28
cluster_446	34	9.38	3	32
cluster_447	34	0.00	0	32
cluster_448	34	56.25	18	32
cluster_449	33	0.00	0	30
cluster_450	33	8.33	2	24
cluster_451	33	0.00	0	24
cluster_452	33	0.00	0	31
cluster_453	33	20.69	6	29
cluster_454	33	10.00	3	30
cluster_455	33	87.88	29	33
cluster_456	33	91.67	22	24
cluster_457	33	46.88	15	32
cluster_458	33	15.15	5	33
cluster_459	33	15.62	5	32
cluster_460	33	26.67	8	30
cluster_461	33	3.85	1	26
cluster_462	33	17.86	5	28
cluster_463	33	9.68	3	31
cluster_464	33	0.00	0	27
cluster_465	33	27.27	9	33
cluster_466	33	24.24	8	33
cluster_467	33	28.12	9	32
cluster_468	33	21.88	7	32
cluster_469	32	11.76	2	17
cluster_470	32	16.67	5	30
cluster_471	32	0.00	0	32
cluster_472	32	3.33	1	30
cluster_473	32	0.00	0	30
cluster_474	32	15.38	4	26
cluster_475	32	3.23	1	31
cluster_476	32	3.33	1	30
cluster_477	32	0.00	0	14
cluster_478	32	32.14	9	28
cluster_479	32	0.00	0	30
cluster_480	32	37.04	10	27
cluster_481	32	0.00	0	31
cluster_482	32	0.00	0	32
cluster_483	32	44.83	13	29
cluster_484	32	44.83	13	29
cluster_485	32	75.86	22	29
cluster_486	31	3.57	1	28
cluster_487	31	3.45	1	29
cluster_488	31	38.71	12	31
cluster_489	31	66.67	6	9
cluster_490	31	19.23	5	26
cluster_491	31	7.14	2	28
cluster_492	31	23.33	7	30
cluster_493	31	50.00	11	22
cluster_494	31	57.14	16	28
cluster_495	31	39.29	11	28
cluster_496	30	8.70	2	23
cluster_497	30	0.00	0	26
cluster_498	30	100.00	20	20
cluster_499	30	44.83	13	29
cluster_500	30	17.86	5	28
cluster_501	30	0.00	0	30
cluster_502	30	57.69	15	26
cluster_503	30	58.33	14	24
cluster_504	30	0.00	0	29
cluster_505	30	3.45	1	29
cluster_506	30	10.00	3	30
cluster_507	30	35.71	10	28
cluster_508	30	58.62	17	29
cluster_509	30	3.85	1	26
cluster_510	30	0.00	0	20
cluster_511	30	0.00	0	24
cluster_512	30	0.00	0	27
cluster_513	30	34.48	10	29
cluster_514	30	0.00	0	27
cluster_515	30	53.85	14	26
cluster_516	29	38.46	10	26
cluster_517	29	37.93	11	29
cluster_518	29	4.17	1	24
cluster_519	29	7.14	2	28
cluster_520	29	3.70	1	27
cluster_521	29	3.45	1	29
cluster_522	29	7.14	2	28
cluster_523	29	27.27	6	22
cluster_524	29	0.00	0	27
cluster_525	29	32.00	8	25
cluster_526	29	37.50	9	24
cluster_527	29	3.45	1	29
cluster_528	29	37.50	9	24
cluster_529	29	0.00	0	25
cluster_530	29	34.48	10	29
cluster_531	29	0.00	0	27
cluster_532	29	20.00	5	25
cluster_533	29	75.86	22	29
cluster_534	28	0.00	0	21
cluster_535	28	7.69	2	26
cluster_536	28	0.00	0	26
cluster_537	28	14.81	4	27
cluster_538	28	0.00	0	23
cluster_539	28	0.00	0	25
cluster_540	28	71.43	20	28
cluster_541	28	0.00	0	11
cluster_542	28	4.35	1	23
cluster_543	28	0.00	0	27
cluster_544	28	40.74	11	27
cluster_545	28	16.00	4	25
cluster_546	28	0.00	0	28
cluster_547	28	94.44	17	18
cluster_548	28	3.57	1	28
cluster_549	27	92.00	23	25
cluster_550	27	3.85	1	26
cluster_551	27	0.00	0	18
cluster_552	27	96.30	26	27
cluster_553	27	4.17	1	24
cluster_554	27	0.00	0	27
cluster_555	27	24.00	6	25
cluster_556	27	12.00	3	25
cluster_557	27	54.55	12	22
cluster_558	27	33.33	6	18
cluster_559	27	8.00	2	25
cluster_560	27	3.70	1	27
cluster_561	27	0.00	0	25
cluster_562	27	3.70	1	27
cluster_563	27	20.83	5	24
cluster_564	27	3.85	1	26
cluster_565	27	43.48	10	23
cluster_566	27	3.85	1	26
cluster_567	26	4.00	1	25
cluster_568	26	0.00	0	24
cluster_569	26	0.00	0	24
cluster_570	26	28.57	6	21
cluster_571	26	0.00	0	17
cluster_572	26	42.86	9	21
cluster_573	26	0.00	0	25
cluster_574	26	8.33	2	24
cluster_575	26	0.00	0	23
cluster_576	26	3.85	1	26
cluster_577	26	0.00	0	26
cluster_578	26	8.00	2	25
cluster_579	26	0.00	0	26
cluster_580	26	78.26	18	23
cluster_581	26	16.00	4	25
cluster_582	26	0.00	0	20
cluster_583	26	8.00	2	25
cluster_584	26	0.00	0	25
cluster_585	26	0.00	0	24
cluster_586	26	4.17	1	24
cluster_587	26	40.91	9	22
cluster_588	25	0.00	0	12
cluster_589	25	56.52	13	23
cluster_590	25	4.00	1	25
cluster_591	25	4.00	1	25
cluster_592	25	13.04	3	23
cluster_593	25	80.00	20	25
cluster_594	25	10.00	2	20
cluster_595	25	0.00	0	22
cluster_596	25	71.43	15	21
cluster_597	25	77.27	17	22
cluster_598	25	4.00	1	25
cluster_599	25	0.00	0	21
cluster_600	25	85.71	18	21
cluster_601	25	0.00	0	14
cluster_602	25	18.18	4	22
cluster_603	25	8.33	2	24
cluster_604	25	37.50	9	24
cluster_605	25	18.18	4	22
cluster_606	25	0.00	0	21
cluster_607	25	0.00	0	21
cluster_608	25	30.00	6	20
cluster_609	25	0.00	0	24
cluster_610	25	4.35	1	23
cluster_611	25	0.00	0	19
cluster_612	25	50.00	12	24
cluster_613	24	4.17	1	24
cluster_614	24	0.00	0	22
cluster_615	24	50.00	11	22
cluster_616	24	0.00	0	22
cluster_617	24	4.17	1	24
cluster_618	24	57.14	12	21
cluster_619	24	26.09	6	23
cluster_620	24	0.00	0	23
cluster_621	24	83.33	15	18
cluster_622	24	0.00	0	23
cluster_623	24	86.36	19	22
cluster_624	24	54.55	12	22
cluster_625	24	17.39	4	23
cluster_626	24	8.70	2	23
cluster_627	24	83.33	20	24
cluster_628	24	0.00	0	23
cluster_629	24	4.35	1	23
cluster_630	24	93.75	15	16
cluster_631	24	4.55	1	22
cluster_632	24	4.76	1	21
cluster_633	24	0.00	0	20
cluster_634	23	55.00	11	20
cluster_635	23	0.00	0	21
cluster_636	23	35.00	7	20
cluster_637	23	30.43	7	23
cluster_638	23	17.39	4	23
cluster_639	23	4.76	1	21
cluster_640	23	7.69	1	13
cluster_641	23	36.36	8	22
cluster_642	23	0.00	0	20
cluster_643	23	4.76	1	21
cluster_644	23	45.00	9	20
cluster_645	23	45.45	10	22
cluster_646	23	9.09	2	22
cluster_647	23	28.57	6	21
cluster_648	23	90.00	18	20
cluster_649	23	0.00	0	21
cluster_650	23	4.55	1	22
cluster_651	23	5.56	1	18
cluster_652	23	30.00	6	20
cluster_653	23	0.00	0	21
cluster_654	23	27.27	6	22
cluster_655	23	4.76	1	21
cluster_656	23	0.00	0	22
cluster_657	23	0.00	0	17
cluster_658	23	9.09	2	22
cluster_659	23	0.00	0	22
cluster_660	23	18.18	4	22
cluster_661	23	30.00	6	20
cluster_662	23	0.00	0	20
cluster_663	23	0.00	0	23
cluster_664	23	9.52	2	21
cluster_665	23	21.05	4	19
cluster_666	23	0.00	0	22
cluster_667	22	0.00	0	17
cluster_668	22	0.00	0	20
cluster_669	22	0.00	0	21
cluster_670	22	5.00	1	20
cluster_671	22	4.76	1	21
cluster_672	22	0.00	0	12
cluster_673	22	4.76	1	21
cluster_674	22	0.00	0	19
cluster_675	22	5.00	1	20
cluster_676	22	0.00	0	20
cluster_677	22	0.00	0	19
cluster_678	22	31.82	7	22
cluster_679	22	5.00	1	20
cluster_680	22	77.78	14	18
cluster_681	22	4.76	1	21
cluster_682	22	0.00	0	22
cluster_683	22	5.88	1	17
cluster_684	22	36.84	7	19
cluster_685	22	5.56	1	18
cluster_686	22	18.18	4	22
cluster_687	22	0.00	0	10
cluster_688	21	5.00	1	20
cluster_689	21	0.00	0	18
cluster_690	21	0.00	0	20
cluster_691	21	7.14	1	14
cluster_692	21	4.76	1	21
cluster_693	21	21.05	4	19
cluster_694	21	47.37	9	19
cluster_695	21	20.00	4	20
cluster_696	21	0.00	0	20
cluster_697	21	0.00	0	20
cluster_698	21	4.76	1	21
cluster_699	21	56.25	9	16
cluster_700	21	60.00	12	20
cluster_701	21	73.68	14	19
cluster_702	21	70.59	12	17
cluster_703	21	0.00	0	17
cluster_704	21	5.26	1	19
cluster_705	21	0.00	0	21
cluster_706	21	15.00	3	20
cluster_707	21	57.89	11	19
cluster_708	21	23.81	5	21
cluster_709	21	0.00	0	20
cluster_710	21	0.00	0	16
cluster_711	21	0.00	0	18
cluster_712	21	47.37	9	19
cluster_713	21	15.00	3	20
cluster_714	21	80.00	16	20
cluster_715	21	0.00	0	21
cluster_716	21	9.52	2	21
cluster_717	21	12.50	2	16
cluster_718	21	0.00	0	18
cluster_719	21	4.76	1	21
cluster_720	21	4.76	1	21
cluster_721	21	0.00	0	15
cluster_722	21	33.33	7	21
cluster_723	20	0.00	0	18
cluster_724	20	0.00	0	20
cluster_725	20	0.00	0	8
cluster_726	20	0.00	0	14
cluster_727	20	16.67	3	18
cluster_728	20	5.56	1	18
cluster_729	20	66.67	10	15
cluster_730	20	0.00	0	19
cluster_731	20	17.65	3	17
cluster_732	20	5.00	1	20
cluster_733	20	47.37	9	19
cluster_734	20	0.00	0	18
cluster_735	20	55.00	11	20
cluster_736	20	0.00	0	19
cluster_737	20	52.94	9	17
cluster_738	20	33.33	6	18
cluster_739	20	5.56	1	18
cluster_740	20	7.14	1	14
cluster_741	20	5.56	1	18
cluster_742	20	61.11	11	18
cluster_743	20	0.00	0	20
cluster_744	20	5.26	1	19
cluster_745	20	15.79	3	19
cluster_746	20	0.00	0	17
cluster_747	20	5.00	1	20
cluster_748	19	5.26	1	19
cluster_749	19	0.00	0	15
cluster_750	19	18.75	3	16
cluster_751	19	26.32	5	19
cluster_752	19	0.00	0	17
cluster_753	19	0.00	0	19
cluster_754	19	73.68	14	19
cluster_755	19	70.59	12	17
cluster_756	19	0.00	0	18
cluster_757	19	25.00	4	16
cluster_758	19	17.65	3	17
cluster_759	19	23.53	4	17
cluster_760	19	50.00	9	18
cluster_761	19	5.26	1	19
cluster_762	19	0.00	0	19
cluster_763	19	0.00	0	19
cluster_764	19	5.26	1	19
cluster_765	19	0.00	0	19
cluster_766	19	0.00	0	19
cluster_767	19	0.00	0	17
cluster_768	19	10.53	2	19
cluster_769	19	11.76	2	17
cluster_770	19	0.00	0	18
cluster_771	19	0.00	0	15
cluster_772	19	0.00	0	15
cluster_773	19	46.67	7	15
cluster_774	19	5.56	1	18
cluster_775	19	38.89	7	18
cluster_776	19	11.11	2	18
cluster_777	19	0.00	0	19
cluster_778	19	0.00	0	19
cluster_779	19	0.00	0	19
cluster_780	19	11.11	1	9
cluster_781	19	11.76	2	17
cluster_782	19	0.00	0	18
cluster_783	19	0.00	0	15
cluster_784	19	66.67	12	18
cluster_785	19	0.00	0	18
cluster_786	18	11.11	1	9
cluster_787	18	0.00	0	15
cluster_788	18	0.00	0	17
cluster_789	18	6.25	1	16
cluster_790	18	58.82	10	17
cluster_791	18	0.00	0	16
cluster_792	18	88.89	8	9
cluster_793	18	0.00	0	18
cluster_794	18	88.24	15	17
cluster_795	18	0.00	0	15
cluster_796	18	72.22	13	18
cluster_797	18	25.00	4	16
cluster_798	18	5.56	1	18
cluster_799	18	11.11	2	18
cluster_800	18	41.18	7	17
cluster_801	18	0.00	0	18
cluster_802	18	27.78	5	18
cluster_803	18	22.22	4	18
cluster_804	18	21.43	3	14
cluster_805	18	0.00	0	18
cluster_806	18	16.67	2	12
cluster_807	18	0.00	0	17
cluster_808	18	11.76	2	17
cluster_809	18	12.50	2	16
cluster_810	18	5.88	1	17
cluster_811	18	0.00	0	17
cluster_812	18	0.00	0	18
cluster_813	18	27.78	5	18
cluster_814	18	5.56	1	18
cluster_815	18	0.00	0	9
cluster_816	18	46.15	6	13
cluster_817	18	22.22	4	18
cluster_818	18	29.41	5	17
cluster_819	18	22.22	4	18
cluster_820	18	0.00	0	18
cluster_821	18	46.67	7	15
cluster_822	18	0.00	0	15
cluster_823	18	16.67	3	18
cluster_824	17	23.53	4	17
cluster_825	17	0.00	0	10
cluster_826	17	5.88	1	17
cluster_827	17	18.75	3	16
cluster_828	17	0.00	0	11
cluster_829	17	0.00	0	16
cluster_830	17	0.00	0	14
cluster_831	17	11.76	2	17
cluster_832	17	64.29	9	14
cluster_833	17	0.00	0	17
cluster_834	17	17.65	3	17
cluster_835	17	87.50	14	16
cluster_836	17	0.00	0	11
cluster_837	17	100.00	14	14
cluster_838	17	73.33	11	15
cluster_839	17	21.43	3	14
cluster_840	17	75.00	12	16
cluster_841	17	0.00	0	16
cluster_842	17	6.67	1	15
cluster_843	17	6.25	1	16
cluster_844	17	0.00	0	14
cluster_845	17	29.41	5	17
cluster_846	17	100.00	17	17
cluster_847	17	0.00	0	15
cluster_848	17	0.00	0	16
cluster_849	17	50.00	7	14
cluster_850	17	0.00	0	11
cluster_851	17	81.25	13	16
cluster_852	17	0.00	0	17
cluster_853	17	25.00	4	16
cluster_854	17	0.00	0	16
cluster_855	17	17.65	3	17
cluster_856	17	0.00	0	17
cluster_857	17	0.00	0	16
cluster_858	17	6.25	1	16
cluster_859	17	6.67	1	15
cluster_860	17	6.67	1	15
cluster_861	17	64.71	11	17
cluster_862	17	6.25	1	16
cluster_863	17	41.18	7	17
cluster_864	17	11.76	2	17
cluster_865	17	0.00	0	16
cluster_866	17	0.00	0	17
cluster_867	17	0.00	0	15
cluster_868	16	0.00	0	16
cluster_869	16	12.50	2	16
cluster_870	16	6.25	1	16
cluster_871	16	0.00	0	16
cluster_872	16	53.33	8	15
cluster_873	16	20.00	3	15
cluster_874	16	50.00	8	16
cluster_875	16	0.00	0	16
