cluster	number of LBDs	DPS	PAB species	total species
cluster_1795	6	0.00	0	6
cluster_1796	6	0.00	0	6
cluster_1797	6	50.00	3	6
cluster_1798	6	0.00	0	6
cluster_1799	6	0.00	0	6
cluster_1800	6	0.00	0	4
cluster_1801	6	0.00	0	6
cluster_1802	6	0.00	0	6
cluster_1803	6	0.00	0	6
cluster_1804	6	16.67	1	6
cluster_1805	6	0.00	0	6
cluster_1806	6	0.00	0	5
cluster_1807	6	0.00	0	6
cluster_1808	6	0.00	0	6
cluster_1809	6	0.00	0	4
cluster_1810	6	0.00	0	6
cluster_1811	6	16.67	1	6
cluster_1812	6	0.00	0	4
cluster_1813	6	0.00	0	4
cluster_1814	6	33.33	2	6
cluster_1815	6	20.00	1	5
cluster_1816	6	0.00	0	6
cluster_1817	6	0.00	0	6
cluster_1818	6	0.00	0	5
cluster_1819	6	0.00	0	6
cluster_1820	6	0.00	0	5
cluster_1821	6	0.00	0	6
cluster_1822	6	0.00	0	6
cluster_1823	6	0.00	0	6
cluster_1824	6	0.00	0	5
cluster_1825	6	0.00	0	6
cluster_1826	6	50.00	2	4
cluster_1827	5	0.00	0	4
cluster_1828	5	0.00	0	5
cluster_1829	5	0.00	0	4
cluster_1830	5	0.00	0	5
cluster_1831	5	0.00	0	4
cluster_1832	5	0.00	0	3
cluster_1833	5	0.00	0	5
cluster_1834	5	0.00	0	5
cluster_1835	5	60.00	3	5
cluster_1836	5	0.00	0	3
cluster_1837	5	0.00	0	5
cluster_1838	5	0.00	0	5
cluster_1839	5	0.00	0	5
cluster_1840	5	0.00	0	5
cluster_1841	5	0.00	0	4
cluster_1842	5	0.00	0	4
cluster_1843	5	0.00	0	4
cluster_1844	5	0.00	0	4
cluster_1845	5	100.00	5	5
cluster_1846	5	0.00	0	5
cluster_1847	5	20.00	1	5
cluster_1848	5	0.00	0	4
cluster_1849	5	0.00	0	4
cluster_1850	5	0.00	0	4
cluster_1851	5	0.00	0	4
cluster_1852	5	0.00	0	5
cluster_1853	5	0.00	0	5
cluster_1854	5	0.00	0	5
cluster_1855	5	0.00	0	5
cluster_1856	5	0.00	0	3
cluster_1857	5	0.00	0	5
cluster_1858	5	20.00	1	5
cluster_1859	5	0.00	0	4
cluster_1860	5	20.00	1	5
cluster_1861	5	0.00	0	5
cluster_1862	5	25.00	1	4
cluster_1863	5	0.00	0	5
cluster_1864	5	20.00	1	5
cluster_1865	5	0.00	0	5
cluster_1866	5	0.00	0	5
cluster_1867	5	0.00	0	5
cluster_1868	5	0.00	0	5
cluster_1869	5	75.00	3	4
cluster_1870	5	80.00	4	5
cluster_1871	5	100.00	5	5
cluster_1872	5	0.00	0	5
cluster_1873	5	0.00	0	5
cluster_1874	5	0.00	0	4
cluster_1875	5	0.00	0	5
cluster_1876	5	0.00	0	5
cluster_1877	5	80.00	4	5
cluster_1878	5	40.00	2	5
cluster_1879	5	0.00	0	5
cluster_1880	5	20.00	1	5
cluster_1881	5	0.00	0	5
cluster_1882	5	0.00	0	4
cluster_1883	5	0.00	0	5
cluster_1884	5	0.00	0	3
cluster_1885	5	25.00	1	4
cluster_1886	5	0.00	0	5
cluster_1887	5	0.00	0	5
cluster_1888	5	80.00	4	5
cluster_1889	5	0.00	0	4
cluster_1890	5	0.00	0	5
cluster_1891	5	20.00	1	5
cluster_1892	5	0.00	0	5
cluster_1893	5	0.00	0	5
cluster_1894	5	100.00	5	5
cluster_1895	5	0.00	0	5
cluster_1896	5	0.00	0	5
cluster_1897	5	0.00	0	4
cluster_1898	5	0.00	0	5
cluster_1899	5	0.00	0	5
cluster_1900	5	0.00	0	5
cluster_1901	5	20.00	1	5
cluster_1902	5	0.00	0	5
cluster_1903	5	0.00	0	5
cluster_1904	5	60.00	3	5
cluster_1905	5	0.00	0	5
cluster_1906	5	0.00	0	5
cluster_1907	5	40.00	2	5
cluster_1908	5	0.00	0	5
cluster_1909	5	80.00	4	5
cluster_1910	5	0.00	0	5
cluster_1911	5	0.00	0	5
cluster_1912	5	0.00	0	5
cluster_1913	5	0.00	0	5
cluster_1914	5	0.00	0	5
cluster_1915	5	0.00	0	5
cluster_1916	5	60.00	3	5
cluster_1917	5	0.00	0	4
cluster_1918	5	0.00	0	5
cluster_1919	5	0.00	0	5
cluster_1920	5	0.00	0	4
cluster_1921	5	0.00	0	5
cluster_1922	5	0.00	0	5
cluster_1923	5	20.00	1	5
cluster_1924	5	0.00	0	5
cluster_1925	5	0.00	0	1
cluster_1926	5	0.00	0	5
cluster_1927	5	0.00	0	5
cluster_1928	5	20.00	1	5
cluster_1929	5	0.00	0	5
cluster_1930	5	40.00	2	5
cluster_1931	5	0.00	0	3
cluster_1932	5	40.00	2	5
cluster_1933	5	0.00	0	5
cluster_1934	5	80.00	4	5
cluster_1935	5	20.00	1	5
cluster_1936	5	100.00	5	5
cluster_1937	5	75.00	3	4
cluster_1938	5	100.00	5	5
cluster_1939	5	20.00	1	5
cluster_1940	5	80.00	4	5
cluster_1941	5	0.00	0	3
cluster_1942	5	0.00	0	5
cluster_1943	5	20.00	1	5
cluster_1944	5	100.00	5	5
cluster_1945	5	0.00	0	5
cluster_1946	5	0.00	0	5
cluster_1947	5	20.00	1	5
cluster_1948	5	0.00	0	5
cluster_1949	5	0.00	0	3
cluster_1950	5	0.00	0	1
cluster_1951	5	0.00	0	5
cluster_1952	5	0.00	0	5
cluster_1953	5	0.00	0	5
cluster_1954	5	0.00	0	3
cluster_1955	5	0.00	0	5
cluster_1956	5	0.00	0	5
cluster_1957	5	0.00	0	4
cluster_1958	5	0.00	0	3
cluster_1959	5	0.00	0	2
cluster_1960	5	0.00	0	5
cluster_1961	5	0.00	0	5
cluster_1962	5	0.00	0	5
cluster_1963	5	0.00	0	5
cluster_1964	5	0.00	0	5
cluster_1965	5	0.00	0	5
cluster_1966	5	0.00	0	5
cluster_1967	5	20.00	1	5
cluster_1968	5	100.00	4	4
cluster_1969	5	0.00	0	4
cluster_1970	5	0.00	0	4
cluster_1971	5	0.00	0	4
cluster_1972	5	0.00	0	5
cluster_1973	5	20.00	1	5
cluster_1974	5	0.00	0	5
cluster_1975	5	0.00	0	5
cluster_1976	5	0.00	0	5
cluster_1977	5	0.00	0	5
cluster_1978	5	0.00	0	5
cluster_1979	5	20.00	1	5
cluster_1980	5	20.00	1	5
cluster_1981	5	0.00	0	5
cluster_1982	5	100.00	5	5
cluster_1983	5	0.00	0	4
cluster_1984	5	60.00	3	5
cluster_1985	5	0.00	0	5
cluster_1986	5	0.00	0	5
cluster_1987	5	0.00	0	5
cluster_1988	5	50.00	2	4
cluster_1989	5	0.00	0	4
cluster_1990	5	0.00	0	5
cluster_1991	5	0.00	0	5
cluster_1992	5	0.00	0	5
cluster_1993	5	60.00	3	5
cluster_1994	5	0.00	0	5
cluster_1995	5	0.00	0	5
cluster_1996	5	0.00	0	5
cluster_1997	5	0.00	0	5
cluster_1998	5	0.00	0	5
cluster_1999	5	0.00	0	5
cluster_2000	5	0.00	0	2
cluster_2001	5	0.00	0	4
cluster_2002	5	0.00	0	5
cluster_2003	5	0.00	0	4
cluster_2004	5	0.00	0	5
cluster_2005	5	20.00	1	5
cluster_2006	5	80.00	4	5
cluster_2007	5	0.00	0	4
cluster_2008	5	40.00	2	5
cluster_2009	5	0.00	0	5
cluster_2010	5	100.00	5	5
cluster_2011	5	0.00	0	3
cluster_2012	5	0.00	0	5
cluster_2013	5	0.00	0	4
cluster_2014	5	40.00	2	5
cluster_2015	5	80.00	4	5
cluster_2016	5	33.33	1	3
cluster_2017	4	0.00	0	2
cluster_2018	4	0.00	0	2
cluster_2019	4	0.00	0	3
cluster_2020	4	0.00	0	1
cluster_2021	4	0.00	0	4
cluster_2022	4	0.00	0	3
cluster_2023	4	0.00	0	4
cluster_2024	4	50.00	2	4
cluster_2025	4	0.00	0	3
cluster_2026	4	0.00	0	4
cluster_2027	4	50.00	2	4
cluster_2028	4	0.00	0	4
cluster_2029	4	0.00	0	4
cluster_2030	4	0.00	0	3
cluster_2031	4	0.00	0	3
cluster_2032	4	0.00	0	3
cluster_2033	4	0.00	0	4
cluster_2034	4	0.00	0	3
cluster_2035	4	0.00	0	4
cluster_2036	4	0.00	0	4
cluster_2037	4	0.00	0	4
cluster_2038	4	0.00	0	4
cluster_2039	4	33.33	1	3
cluster_2040	4	0.00	0	4
cluster_2041	4	0.00	0	2
cluster_2042	4	100.00	3	3
cluster_2043	4	0.00	0	3
cluster_2044	4	0.00	0	4
cluster_2045	4	0.00	0	4
cluster_2046	4	0.00	0	4
cluster_2047	4	25.00	1	4
cluster_2048	4	0.00	0	4
cluster_2049	4	0.00	0	4
cluster_2050	4	0.00	0	4
cluster_2051	4	25.00	1	4
cluster_2052	4	0.00	0	4
cluster_2053	4	0.00	0	4
cluster_2054	4	0.00	0	4
cluster_2055	4	0.00	0	4
cluster_2056	4	0.00	0	4
cluster_2057	4	33.33	1	3
cluster_2058	4	25.00	1	4
cluster_2059	4	0.00	0	3
cluster_2060	4	25.00	1	4
cluster_2061	4	25.00	1	4
cluster_2062	4	0.00	0	3
cluster_2063	4	0.00	0	4
cluster_2064	4	0.00	0	4
cluster_2065	4	25.00	1	4
cluster_2066	4	0.00	0	4
cluster_2067	4	0.00	0	4
cluster_2068	4	0.00	0	3
cluster_2069	4	0.00	0	4
cluster_2070	4	0.00	0	4
cluster_2071	4	0.00	0	4
cluster_2072	4	100.00	3	3
cluster_2073	4	0.00	0	4
cluster_2074	4	0.00	0	4
cluster_2075	4	25.00	1	4
cluster_2076	4	25.00	1	4
cluster_2077	4	0.00	0	2
cluster_2078	4	0.00	0	2
cluster_2079	4	0.00	0	2
cluster_2080	4	0.00	0	4
cluster_2081	4	0.00	0	4
cluster_2082	4	0.00	0	4
cluster_2083	4	25.00	1	4
cluster_2084	4	100.00	3	3
cluster_2085	4	0.00	0	2
cluster_2086	4	0.00	0	4
cluster_2087	4	0.00	0	4
cluster_2088	4	0.00	0	2
cluster_2089	4	0.00	0	4
cluster_2090	4	0.00	0	4
cluster_2091	4	0.00	0	4
cluster_2092	4	0.00	0	4
cluster_2093	4	33.33	1	3
cluster_2094	4	0.00	0	4
cluster_2095	4	0.00	0	4
cluster_2096	4	0.00	0	2
cluster_2097	4	25.00	1	4
cluster_2098	4	0.00	0	4
cluster_2099	4	0.00	0	4
cluster_2100	4	0.00	0	4
cluster_2101	4	0.00	0	3
cluster_2102	4	0.00	0	4
cluster_2103	4	0.00	0	3
cluster_2104	4	0.00	0	4
cluster_2105	4	0.00	0	2
cluster_2106	4	25.00	1	4
cluster_2107	4	50.00	2	4
cluster_2108	4	0.00	0	2
cluster_2109	4	0.00	0	4
cluster_2110	4	50.00	2	4
cluster_2111	4	0.00	0	2
cluster_2112	4	0.00	0	4
cluster_2113	4	50.00	2	4
cluster_2114	4	75.00	3	4
cluster_2115	4	50.00	2	4
cluster_2116	4	0.00	0	3
cluster_2117	4	0.00	0	4
cluster_2118	4	0.00	0	4
cluster_2119	4	0.00	0	4
cluster_2120	4	0.00	0	4
cluster_2121	4	75.00	3	4
cluster_2122	4	0.00	0	4
cluster_2123	4	0.00	0	4
cluster_2124	4	25.00	1	4
cluster_2125	4	0.00	0	4
cluster_2126	4	0.00	0	4
cluster_2127	4	0.00	0	4
cluster_2128	4	25.00	1	4
cluster_2129	4	0.00	0	4
cluster_2130	4	0.00	0	4
cluster_2131	4	0.00	0	1
cluster_2132	4	0.00	0	4
cluster_2133	4	33.33	1	3
cluster_2134	4	0.00	0	4
cluster_2135	4	0.00	0	4
cluster_2136	4	0.00	0	4
cluster_2137	4	0.00	0	4
cluster_2138	4	0.00	0	4
cluster_2139	4	0.00	0	3
cluster_2140	4	25.00	1	4
cluster_2141	4	0.00	0	4
cluster_2142	4	0.00	0	4
cluster_2143	4	0.00	0	1
cluster_2144	4	0.00	0	4
cluster_2145	4	100.00	4	4
cluster_2146	4	50.00	2	4
cluster_2147	4	0.00	0	4
cluster_2148	4	25.00	1	4
cluster_2149	4	0.00	0	4
cluster_2150	4	0.00	0	4
cluster_2151	4	33.33	1	3
cluster_2152	4	0.00	0	4
cluster_2153	4	0.00	0	4
cluster_2154	4	0.00	0	4
cluster_2155	4	0.00	0	4
cluster_2156	4	0.00	0	3
cluster_2157	4	0.00	0	3
cluster_2158	4	0.00	0	4
cluster_2159	4	0.00	0	4
cluster_2160	4	0.00	0	4
cluster_2161	4	0.00	0	4
cluster_2162	4	0.00	0	4
cluster_2163	4	33.33	1	3
cluster_2164	4	0.00	0	3
cluster_2165	4	0.00	0	4
cluster_2166	4	0.00	0	4
cluster_2167	4	25.00	1	4
cluster_2168	4	0.00	0	4
cluster_2169	4	25.00	1	4
cluster_2170	4	0.00	0	4
cluster_2171	4	50.00	2	4
cluster_2172	4	0.00	0	4
cluster_2173	4	0.00	0	4
cluster_2174	4	0.00	0	4
cluster_2175	4	0.00	0	4
cluster_2176	4	0.00	0	3
cluster_2177	4	25.00	1	4
cluster_2178	4	0.00	0	4
cluster_2179	4	0.00	0	4
cluster_2180	4	0.00	0	4
cluster_2181	4	0.00	0	4
cluster_2182	4	0.00	0	4
cluster_2183	4	0.00	0	4
cluster_2184	4	0.00	0	4
cluster_2185	4	0.00	0	4
cluster_2186	4	0.00	0	4
cluster_2187	4	0.00	0	4
cluster_2188	4	25.00	1	4
cluster_2189	4	0.00	0	4
cluster_2190	4	0.00	0	4
cluster_2191	4	25.00	1	4
cluster_2192	4	25.00	1	4
cluster_2193	4	0.00	0	1
cluster_2194	4	0.00	0	4
cluster_2195	4	0.00	0	3
cluster_2196	4	33.33	1	3
cluster_2197	4	0.00	0	4
cluster_2198	4	0.00	0	4
cluster_2199	4	0.00	0	3
cluster_2200	4	0.00	0	4
cluster_2201	4	0.00	0	4
cluster_2202	4	0.00	0	4
cluster_2203	4	0.00	0	4
cluster_2204	4	0.00	0	4
cluster_2205	4	25.00	1	4
cluster_2206	4	25.00	1	4
cluster_2207	4	0.00	0	4
cluster_2208	4	0.00	0	4
cluster_2209	4	50.00	2	4
cluster_2210	4	25.00	1	4
cluster_2211	4	0.00	0	4
cluster_2212	4	0.00	0	4
cluster_2213	4	100.00	4	4
cluster_2214	4	0.00	0	4
cluster_2215	4	0.00	0	4
cluster_2216	4	0.00	0	3
cluster_2217	4	0.00	0	4
cluster_2218	4	0.00	0	4
cluster_2219	4	0.00	0	3
cluster_2220	4	0.00	0	3
cluster_2221	4	0.00	0	4
cluster_2222	4	0.00	0	4
cluster_2223	4	0.00	0	4
cluster_2224	4	0.00	0	4
cluster_2225	4	0.00	0	4
cluster_2226	4	66.67	2	3
cluster_2227	4	0.00	0	4
cluster_2228	4	0.00	0	4
cluster_2229	4	25.00	1	4
cluster_2230	4	0.00	0	4
cluster_2231	4	0.00	0	4
cluster_2232	4	0.00	0	4
cluster_2233	4	0.00	0	4
cluster_2234	4	0.00	0	2
cluster_2235	4	75.00	3	4
cluster_2236	4	0.00	0	4
cluster_2237	4	25.00	1	4
cluster_2238	4	0.00	0	4
cluster_2239	4	0.00	0	4
cluster_2240	4	0.00	0	4
cluster_2241	4	0.00	0	4
cluster_2242	4	0.00	0	4
cluster_2243	4	0.00	0	4
cluster_2244	4	0.00	0	4
cluster_2245	4	0.00	0	4
cluster_2246	4	0.00	0	4
cluster_2247	4	0.00	0	4
cluster_2248	4	0.00	0	4
cluster_2249	4	0.00	0	3
cluster_2250	4	0.00	0	4
cluster_2251	4	0.00	0	3
cluster_2252	4	50.00	2	4
cluster_2253	4	0.00	0	4
cluster_2254	4	0.00	0	4
cluster_2255	4	0.00	0	4
cluster_2256	4	0.00	0	4
cluster_2257	4	0.00	0	3
cluster_2258	4	25.00	1	4
cluster_2259	4	0.00	0	4
cluster_2260	4	0.00	0	4
cluster_2261	4	0.00	0	4
cluster_2262	4	0.00	0	3
cluster_2263	4	0.00	0	4
cluster_2264	4	0.00	0	4
cluster_2265	4	0.00	0	4
cluster_2266	4	0.00	0	4
cluster_2267	4	0.00	0	4
cluster_2268	4	0.00	0	4
cluster_2269	4	75.00	3	4
cluster_2270	4	0.00	0	4
cluster_2271	4	0.00	0	3
cluster_2272	4	0.00	0	4
cluster_2273	4	0.00	0	4
cluster_2274	4	0.00	0	3
cluster_2275	4	50.00	2	4
cluster_2276	4	0.00	0	4
cluster_2277	4	0.00	0	4
cluster_2278	4	0.00	0	3
cluster_2279	4	0.00	0	4
cluster_2280	4	0.00	0	4
cluster_2281	4	25.00	1	4
cluster_2282	4	25.00	1	4
cluster_2283	4	0.00	0	4
cluster_2284	4	0.00	0	4
cluster_2285	4	0.00	0	4
cluster_2286	4	50.00	1	2
cluster_2287	4	0.00	0	4
cluster_2288	4	0.00	0	4
cluster_2289	4	50.00	2	4
cluster_2290	4	0.00	0	4
cluster_2291	4	0.00	0	3
cluster_2292	4	0.00	0	3
cluster_2293	4	0.00	0	4
cluster_2294	4	0.00	0	4
cluster_2295	4	25.00	1	4
cluster_2296	4	0.00	0	2
cluster_2297	4	0.00	0	3
cluster_2298	4	0.00	0	4
cluster_2299	4	0.00	0	2
cluster_2300	4	0.00	0	4
cluster_2301	4	0.00	0	4
cluster_2302	4	25.00	1	4
cluster_2303	4	0.00	0	3
cluster_2304	4	0.00	0	4
cluster_2305	4	0.00	0	4
cluster_2306	4	0.00	0	4
cluster_2307	4	25.00	1	4
cluster_2308	4	25.00	1	4
cluster_2309	4	75.00	3	4
cluster_2310	4	25.00	1	4
cluster_2311	4	0.00	0	4
cluster_2312	4	0.00	0	4
cluster_2313	4	0.00	0	4
cluster_2314	4	50.00	1	2
cluster_2315	4	75.00	3	4
cluster_2316	4	25.00	1	4
cluster_2317	4	0.00	0	4
cluster_2318	4	0.00	0	3
cluster_2319	4	0.00	0	4
cluster_2320	3	100.00	3	3
cluster_2321	3	0.00	0	3
cluster_2322	3	0.00	0	3
cluster_2323	3	0.00	0	2
cluster_2324	3	0.00	0	3
cluster_2325	3	0.00	0	3
cluster_2326	3	0.00	0	3
cluster_2327	3	100.00	3	3
cluster_2328	3	100.00	3	3
cluster_2329	3	0.00	0	2
cluster_2330	3	0.00	0	3
cluster_2331	3	0.00	0	2
cluster_2332	3	0.00	0	1
cluster_2333	3	0.00	0	3
cluster_2334	3	0.00	0	3
cluster_2335	3	0.00	0	2
cluster_2336	3	0.00	0	2
cluster_2337	3	0.00	0	3
cluster_2338	3	0.00	0	3
cluster_2339	3	0.00	0	3
cluster_2340	3	0.00	0	2
cluster_2341	3	0.00	0	2
cluster_2342	3	0.00	0	2
cluster_2343	3	0.00	0	2
cluster_2344	3	0.00	0	2
cluster_2345	3	0.00	0	3
cluster_2346	3	0.00	0	3
cluster_2347	3	0.00	0	3
cluster_2348	3	0.00	0	3
cluster_2349	3	0.00	0	3
cluster_2350	3	0.00	0	3
cluster_2351	3	0.00	0	3
cluster_2352	3	33.33	1	3
cluster_2353	3	0.00	0	3
cluster_2354	3	0.00	0	2
cluster_2355	3	0.00	0	3
cluster_2356	3	0.00	0	2
cluster_2357	3	33.33	1	3
cluster_2358	3	0.00	0	2
cluster_2359	3	0.00	0	1
cluster_2360	3	0.00	0	3
cluster_2361	3	0.00	0	3
cluster_2362	3	0.00	0	3
cluster_2363	3	0.00	0	2
cluster_2364	3	0.00	0	2
cluster_2365	3	0.00	0	2
cluster_2366	3	0.00	0	3
cluster_2367	3	0.00	0	3
cluster_2368	3	0.00	0	3
cluster_2369	3	0.00	0	3
cluster_2370	3	0.00	0	3
cluster_2371	3	0.00	0	3
cluster_2372	3	0.00	0	3
cluster_2373	3	0.00	0	3
cluster_2374	3	0.00	0	3
cluster_2375	3	0.00	0	3
cluster_2376	3	50.00	1	2
cluster_2377	3	0.00	0	2
cluster_2378	3	0.00	0	3
cluster_2379	3	0.00	0	3
cluster_2380	3	0.00	0	2
cluster_2381	3	0.00	0	3
cluster_2382	3	0.00	0	3
cluster_2383	3	0.00	0	3
cluster_2384	3	0.00	0	3
cluster_2385	3	0.00	0	3
cluster_2386	3	0.00	0	3
cluster_2387	3	0.00	0	3
cluster_2388	3	0.00	0	3
cluster_2389	3	0.00	0	3
cluster_2390	3	33.33	1	3
cluster_2391	3	0.00	0	3
cluster_2392	3	0.00	0	3
cluster_2393	3	0.00	0	3
cluster_2394	3	0.00	0	3
cluster_2395	3	0.00	0	2
cluster_2396	3	0.00	0	3
cluster_2397	3	0.00	0	3
cluster_2398	3	0.00	0	2
cluster_2399	3	0.00	0	3
cluster_2400	3	0.00	0	3
cluster_2401	3	0.00	0	2
cluster_2402	3	0.00	0	3
cluster_2403	3	0.00	0	2
cluster_2404	3	0.00	0	1
cluster_2405	3	0.00	0	3
cluster_2406	3	0.00	0	3
cluster_2407	3	0.00	0	3
cluster_2408	3	100.00	2	2
cluster_2409	3	0.00	0	2
cluster_2410	3	33.33	1	3
cluster_2411	3	0.00	0	3
cluster_2412	3	0.00	0	3
cluster_2413	3	100.00	3	3
cluster_2414	3	0.00	0	3
cluster_2415	3	0.00	0	2
cluster_2416	3	0.00	0	3
cluster_2417	3	0.00	0	3
cluster_2418	3	0.00	0	3
cluster_2419	3	0.00	0	3
cluster_2420	3	33.33	1	3
cluster_2421	3	0.00	0	3
cluster_2422	3	0.00	0	3
cluster_2423	3	0.00	0	2
cluster_2424	3	0.00	0	3
cluster_2425	3	0.00	0	3
cluster_2426	3	0.00	0	1
cluster_2427	3	0.00	0	3
cluster_2428	3	0.00	0	3
cluster_2429	3	0.00	0	3
cluster_2430	3	0.00	0	1
cluster_2431	3	0.00	0	3
cluster_2432	3	66.67	2	3
cluster_2433	3	0.00	0	3
cluster_2434	3	66.67	2	3
cluster_2435	3	0.00	0	3
cluster_2436	3	0.00	0	3
cluster_2437	3	0.00	0	3
cluster_2438	3	0.00	0	3
cluster_2439	3	0.00	0	3
cluster_2440	3	33.33	1	3
cluster_2441	3	50.00	1	2
cluster_2442	3	0.00	0	3
cluster_2443	3	100.00	3	3
cluster_2444	3	0.00	0	3
cluster_2445	3	0.00	0	1
cluster_2446	3	0.00	0	3
cluster_2447	3	33.33	1	3
cluster_2448	3	0.00	0	3
cluster_2449	3	0.00	0	3
cluster_2450	3	0.00	0	3
cluster_2451	3	66.67	2	3
cluster_2452	3	33.33	1	3
cluster_2453	3	0.00	0	1
cluster_2454	3	33.33	1	3
cluster_2455	3	0.00	0	3
cluster_2456	3	0.00	0	3
cluster_2457	3	33.33	1	3
cluster_2458	3	0.00	0	3
cluster_2459	3	0.00	0	3
cluster_2460	3	0.00	0	2
cluster_2461	3	100.00	3	3
cluster_2462	3	0.00	0	3
cluster_2463	3	0.00	0	3
cluster_2464	3	0.00	0	3
cluster_2465	3	0.00	0	3
cluster_2466	3	0.00	0	3
cluster_2467	3	0.00	0	3
cluster_2468	3	0.00	0	3
cluster_2469	3	0.00	0	3
cluster_2470	3	0.00	0	3
cluster_2471	3	0.00	0	3
cluster_2472	3	0.00	0	3
cluster_2473	3	0.00	0	3
cluster_2474	3	0.00	0	3
cluster_2475	3	0.00	0	3
cluster_2476	3	100.00	3	3
cluster_2477	3	0.00	0	3
cluster_2478	3	0.00	0	3
cluster_2479	3	0.00	0	3
cluster_2480	3	0.00	0	3
cluster_2481	3	0.00	0	3
cluster_2482	3	0.00	0	3
cluster_2483	3	33.33	1	3
cluster_2484	3	0.00	0	3
cluster_2485	3	0.00	0	3
cluster_2486	3	0.00	0	2
cluster_2487	3	0.00	0	3
cluster_2488	3	0.00	0	3
cluster_2489	3	33.33	1	3
cluster_2490	3	0.00	0	3
cluster_2491	3	0.00	0	3
cluster_2492	3	0.00	0	3
cluster_2493	3	0.00	0	3
cluster_2494	3	0.00	0	3
cluster_2495	3	0.00	0	3
cluster_2496	3	0.00	0	2
cluster_2497	3	0.00	0	3
cluster_2498	3	0.00	0	3
cluster_2499	3	0.00	0	3
cluster_2500	3	0.00	0	3
cluster_2501	3	66.67	2	3
cluster_2502	3	0.00	0	3
cluster_2503	3	33.33	1	3
cluster_2504	3	0.00	0	3
cluster_2505	3	33.33	1	3
cluster_2506	3	0.00	0	3
cluster_2507	3	33.33	1	3
cluster_2508	3	33.33	1	3
cluster_2509	3	0.00	0	3
cluster_2510	3	0.00	0	3
cluster_2511	3	0.00	0	3
cluster_2512	3	100.00	3	3
cluster_2513	3	0.00	0	3
cluster_2514	3	0.00	0	3
cluster_2515	3	0.00	0	3
cluster_2516	3	0.00	0	3
cluster_2517	3	0.00	0	3
cluster_2518	3	33.33	1	3
cluster_2519	3	100.00	3	3
cluster_2520	3	100.00	3	3
cluster_2521	3	66.67	2	3
cluster_2522	3	33.33	1	3
cluster_2523	3	0.00	0	3
cluster_2524	3	0.00	0	3
cluster_2525	3	0.00	0	3
cluster_2526	3	0.00	0	3
cluster_2527	3	0.00	0	3
cluster_2528	3	66.67	2	3
cluster_2529	3	33.33	1	3
cluster_2530	3	0.00	0	3
cluster_2531	3	66.67	2	3
cluster_2532	3	0.00	0	3
cluster_2533	3	0.00	0	3
cluster_2534	3	0.00	0	2
cluster_2535	3	0.00	0	2
cluster_2536	3	0.00	0	2
cluster_2537	3	0.00	0	2
cluster_2538	3	33.33	1	3
cluster_2539	3	33.33	1	3
cluster_2540	3	0.00	0	3
cluster_2541	3	66.67	2	3
cluster_2542	3	0.00	0	3
cluster_2543	3	0.00	0	2
cluster_2544	3	0.00	0	3
cluster_2545	3	33.33	1	3
cluster_2546	3	33.33	1	3
cluster_2547	3	33.33	1	3
cluster_2548	3	0.00	0	3
cluster_2549	3	0.00	0	3
cluster_2550	3	0.00	0	2
cluster_2551	3	0.00	0	2
cluster_2552	3	0.00	0	3
cluster_2553	3	0.00	0	3
cluster_2554	3	0.00	0	3
cluster_2555	3	0.00	0	3
cluster_2556	3	0.00	0	2
cluster_2557	3	0.00	0	3
cluster_2558	3	0.00	0	3
cluster_2559	3	0.00	0	2
cluster_2560	3	0.00	0	2
cluster_2561	3	0.00	0	3
cluster_2562	3	0.00	0	3
cluster_2563	3	0.00	0	3
cluster_2564	3	33.33	1	3
cluster_2565	3	0.00	0	3
cluster_2566	3	0.00	0	3
cluster_2567	3	0.00	0	3
cluster_2568	3	100.00	3	3
cluster_2569	3	0.00	0	3
cluster_2570	3	0.00	0	3
cluster_2571	3	0.00	0	3
cluster_2572	3	0.00	0	3
cluster_2573	3	0.00	0	3
cluster_2574	3	0.00	0	3
cluster_2575	3	0.00	0	3
cluster_2576	3	0.00	0	3
cluster_2577	3	0.00	0	3
cluster_2578	3	0.00	0	3
cluster_2579	3	0.00	0	3
cluster_2580	3	0.00	0	3
cluster_2581	3	0.00	0	3
cluster_2582	3	0.00	0	3
cluster_2583	3	33.33	1	3
cluster_2584	3	0.00	0	2
cluster_2585	3	0.00	0	3
cluster_2586	3	0.00	0	3
cluster_2587	3	0.00	0	2
cluster_2588	3	0.00	0	3
cluster_2589	3	0.00	0	3
cluster_2590	3	0.00	0	3
cluster_2591	3	0.00	0	3
cluster_2592	3	0.00	0	2
cluster_2593	3	0.00	0	3
cluster_2594	3	33.33	1	3
cluster_2595	3	0.00	0	3
cluster_2596	3	0.00	0	3
cluster_2597	3	0.00	0	3
cluster_2598	3	0.00	0	3
cluster_2599	3	0.00	0	3
cluster_2600	3	0.00	0	3
cluster_2601	3	0.00	0	3
cluster_2602	3	0.00	0	3
cluster_2603	3	0.00	0	2
cluster_2604	3	0.00	0	3
cluster_2605	3	33.33	1	3
cluster_2606	3	0.00	0	3
cluster_2607	3	0.00	0	2
cluster_2608	3	0.00	0	3
cluster_2609	3	0.00	0	3
cluster_2610	3	0.00	0	3
cluster_2611	3	0.00	0	3
cluster_2612	3	0.00	0	3
cluster_2613	3	0.00	0	3
cluster_2614	3	0.00	0	3
cluster_2615	3	0.00	0	3
cluster_2616	3	0.00	0	2
